x,y,pixel_speed,real_speed
433,-5,17.029386365926403,0
1195,12,24.413111231467404,0
1176,-6,22.80350850198276,0
1166,-13,21.633307652783937,0
537,384,21.213203435596427,0
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1632,930,92.43916918709297,56.65
1639,872,85.75546629807339,56.65
1599,806,78.54934754662193,56.65
1559,744,72.71863585079137,56.65
1519,685,67.7421582177598,56.65
1493,633,63.28506932918696,56.65
1462,582,58.309518948453004,56.65
1433,535,54.70831746635972,56.65
1403,490,52.478567053607705,56.65
1383,448,48.877397639399746,56.65
1356,409,45.27692569068709,56.65
1340,371,43.41658669218482,56.65
1320,335,40.311288741492746,56.65
1299,302,38.948684188300895,56.65
1276,270,36.71511950137164,56.65
1259,241,34.48187929913333,56.65
1250,212,32.2490309931942,56.65
1231,187,30.01666203960727,56.65
1227,160,29.5296461204668,56.65
1198,137,27.784887978899608,56.65
1186,114,27.294688127912362,56.65
1188,114,26.419689627245813,56.65
1175,90,26.419689627245813,56.65
1167,67,25.059928172283335,56.65
1149,46,24.186773244895647,56.65
1137,29,21.95449840010015,56.65
1111,12,20.591260281974,56.65
